Testcase DataSize WorkGroupSize GpuWorkGroups NumThreads Time
Collatz 1342177280 1000 10000 8 1.760165
Collatz 1342177280 1000 20000 8 1.746167
Collatz 1342177280 1000 100000 8 1.746805
Collatz 1342177280 10000 1000 8 1.746764
Collatz 1342177280 10000 10000 8 1.749386
Collatz 1342177280 10000 20000 8 1.748361
Collatz 1342177280 10000 50000 8 1.758255
Collatz 1342177280 10000 100000 8 1.759689
Collatz 1342177280 100000 10000 8 1.758009
Collatz 1342177280 100000 20000 8 1.790786
Collatz 2684354560 1000 10000 8 3.579891
Collatz 2684354560 1000 20000 8 3.570816
Collatz 2684354560 1000 100000 8 3.549622
Collatz 2684354560 10000 1000 8 3.561273
Collatz 2684354560 10000 10000 8 3.564107
Collatz 2684354560 10000 20000 8 3.579424
Collatz 2684354560 10000 50000 8 3.559038
Collatz 2684354560 10000 100000 8 3.572078
Collatz 2684354560 100000 10000 8 3.574399
Collatz 2684354560 100000 20000 8 3.572094
Collatz 5368709120 1000 10000 8 7.220034
Collatz 5368709120 1000 20000 8 7.212432
Collatz 5368709120 1000 100000 8 7.212789
Collatz 5368709120 10000 1000 8 7.229434
Collatz 5368709120 10000 10000 8 7.214166
Collatz 5368709120 10000 20000 8 7.212699
Collatz 5368709120 10000 50000 8 7.218722
Collatz 5368709120 10000 100000 8 7.219391
Collatz 5368709120 100000 10000 8 7.220887
Collatz 5368709120 100000 20000 8 7.247896
Collatz 8053063680 1000 10000 8 10.922372
Collatz 8053063680 1000 20000 8 10.910074
Collatz 8053063680 1000 100000 8 10.901170
Collatz 8053063680 10000 1000 8 10.998254
Collatz 8053063680 10000 10000 8 10.909273
Collatz 8053063680 10000 20000 8 10.916765
Collatz 8053063680 10000 50000 8 10.922022
Collatz 8053063680 10000 100000 8 10.914366
Collatz 8053063680 100000 10000 8 10.906479
Collatz 8053063680 100000 20000 8 10.950611
Collatz 10737418240 1000 10000 8 14.655269
Collatz 10737418240 1000 20000 8 14.628114
Collatz 10737418240 1000 100000 8 14.619143
Collatz 10737418240 10000 1000 8 14.644645
Collatz 10737418240 10000 10000 8 14.609286
Collatz 10737418240 10000 20000 8 14.630133
Collatz 10737418240 10000 50000 8 14.601067
Collatz 10737418240 10000 100000 8 14.613275
Collatz 10737418240 100000 10000 8 14.599838
Collatz 10737418240 100000 20000 8 14.612824
Collatz 13421772800 1000 10000 8 18.387921
Collatz 13421772800 1000 20000 8 18.374335
Collatz 13421772800 1000 100000 8 18.345210
Collatz 13421772800 10000 1000 8 18.381888
Collatz 13421772800 10000 10000 8 18.341062
Collatz 13421772800 10000 20000 8 18.346242
Collatz 13421772800 10000 50000 8 18.327549
Collatz 13421772800 10000 100000 8 18.333131
Collatz 13421772800 100000 10000 8 18.306766
Collatz 13421772800 100000 20000 8 18.366824
Math 671088640 100 20000 8 36.243714
Math 671088640 100 100000 8 36.246107
Math 671088640 1000 10000 8 36.454865
Math 671088640 1000 20000 8 36.571155
Math 671088640 1000 100000 8 36.522222
Math 671088640 10000 1000 8 36.522420
Math 671088640 10000 20000 8 38.791351
Math 671088640 10000 50000 8 36.520942
Math 671088640 10000 100000 8 47.916174
Math 671088640 100000 100 8 36.542530
Math 1342177280 100 20000 8 72.887726
Math 1342177280 100 100000 8 73.185782
Math 1342177280 1000 10000 8 73.213235
Math 1342177280 1000 20000 8 73.001500
Math 1342177280 1000 100000 8 73.116880
Math 1342177280 10000 1000 8 73.068657
Math 1342177280 10000 20000 8 73.043508
Math 1342177280 10000 50000 8 72.989276
Math 1342177280 10000 100000 8 73.223953
Math 1342177280 100000 100 8 73.028267
Math 2684354560 100 20000 8 145.916595
Math 2684354560 100 100000 8 145.897807
Math 2684354560 1000 10000 8 145.942671
Math 2684354560 1000 20000 8 146.042811
Math 2684354560 1000 100000 8 146.203131
Math 2684354560 10000 1000 8 145.718573
Math 2684354560 10000 20000 8 146.010909
Math 2684354560 10000 50000 8 146.020787
Math 2684354560 10000 100000 8 145.968147
Math 2684354560 100000 100 8 145.797650
Math 4026531840 100 20000 8 218.795065
Math 4026531840 100 100000 8 218.627934
Math 4026531840 1000 10000 8 218.853609
Math 4026531840 1000 20000 8 218.548455
Math 4026531840 1000 100000 8 219.368310
Math 4026531840 10000 1000 8 218.667521
Math 4026531840 10000 20000 8 219.072162
Math 4026531840 10000 50000 8 219.041743
Math 4026531840 10000 100000 8 219.032978
Math 4026531840 100000 100 8 218.468383
Math 5368709120 100 20000 8 291.641694
Math 5368709120 100 100000 8 291.728881
Math 5368709120 1000 10000 8 291.696969
Math 5368709120 1000 20000 8 291.304293
Math 5368709120 1000 100000 8 292.322958
Math 5368709120 10000 1000 8 291.638194
Math 5368709120 10000 20000 8 292.145451
Math 5368709120 10000 50000 8 292.065263
Math 5368709120 10000 100000 8 292.129899
Math 5368709120 100000 100 8 291.696884
Math 6710886400 100 20000 8 364.726379
Math 6710886400 100 100000 8 364.702312
Math 6710886400 1000 10000 8 364.842926
Math 6710886400 1000 20000 8 364.331272
Math 6710886400 1000 100000 8 365.328718
Math 6710886400 10000 1000 8 364.511807
Math 6710886400 10000 20000 8 365.073932
Math 6710886400 10000 50000 8 365.016859
Math 6710886400 10000 100000 8 364.871938
Math 6710886400 100000 100 8 364.370728
MaxElement 1342177280 1000 50000 8 0.415407
MaxElement 1342177280 1000 100000 8 0.411980
MaxElement 1342177280 10000 10000 8 0.409542
MaxElement 1342177280 10000 20000 8 0.407236
MaxElement 1342177280 10000 50000 6 0.422736
MaxElement 1342177280 10000 50000 8 0.413313
MaxElement 1342177280 10000 100000 8 0.414674
MaxElement 1342177280 100000 1000 8 0.411677
MaxElement 1342177280 100000 10000 8 0.413531
MaxElement 1342177280 100000 20000 8 0.445568
MaxElement 2684354560 1000 50000 8 0.814058
MaxElement 2684354560 1000 100000 8 0.808525
MaxElement 2684354560 10000 10000 8 0.803977
MaxElement 2684354560 10000 20000 8 0.798401
MaxElement 2684354560 10000 50000 6 0.814514
MaxElement 2684354560 10000 50000 8 0.811509
MaxElement 2684354560 10000 100000 8 0.811754
MaxElement 2684354560 100000 1000 8 0.800808
MaxElement 2684354560 100000 10000 8 0.818766
MaxElement 2684354560 100000 20000 8 0.806077
MaxElement 5368709120 1000 50000 8 1.613330
MaxElement 5368709120 1000 100000 8 1.594504
MaxElement 5368709120 10000 10000 8 1.588005
MaxElement 5368709120 10000 20000 8 1.583386
MaxElement 5368709120 10000 50000 6 1.612351
MaxElement 5368709120 10000 50000 8 1.587311
MaxElement 5368709120 10000 100000 8 1.598736
MaxElement 5368709120 100000 1000 8 1.585057
MaxElement 5368709120 100000 10000 8 1.607853
MaxElement 5368709120 100000 20000 8 1.607827
MaxElement 8053063680 1000 50000 8 2.408066
MaxElement 8053063680 1000 100000 8 2.399526
MaxElement 8053063680 10000 10000 8 2.374821
MaxElement 8053063680 10000 20000 8 2.367482
MaxElement 8053063680 10000 50000 6 2.410079
MaxElement 8053063680 10000 50000 8 2.389594
MaxElement 8053063680 10000 100000 8 2.359857
MaxElement 8053063680 100000 1000 8 2.370599
MaxElement 8053063680 100000 10000 8 2.364837
MaxElement 8053063680 100000 20000 8 2.398252
MaxElement 10737418240 1000 50000 8 3.208165
MaxElement 10737418240 1000 100000 8 3.174723
MaxElement 10737418240 10000 10000 8 3.162747
MaxElement 10737418240 10000 20000 8 3.154691
MaxElement 10737418240 10000 50000 6 3.205383
MaxElement 10737418240 10000 50000 8 3.153098
MaxElement 10737418240 10000 100000 8 3.152708
