Testcase DataSize Time
Collatz 1342177280 1.793486
Collatz 2684354560 3.637880
Collatz 5368709120 7.365382
Collatz 8053063680 11.128190
Collatz 10737418240 14.908014
Collatz 13421772800 18.721807
Math 671088640 47.901540
Math 1342177280 95.957335
Math 2684354560 192.047774
Math 4026531840 288.208217
Math 5368709120 384.400681
Math 6710886400 480.612681
MaxElement 1342177280 0.447585
MaxElement 2684354560 0.872205
MaxElement 5368709120 1.726846
MaxElement 8053063680 2.578724
MaxElement 10737418240 3.433447
MaxElement 13421772800 4.286872
VectorPow 335544320 0.661695
VectorPow 671088640 1.269983
VectorPow 1342177280 2.541286
VectorPow 2013265920 3.781077
VectorPow 2684354560 5.039305
VectorPow 3355443200 6.296984
