Testcase DataSize Time
Collatz 1342177280 68.852952
Collatz 2684354560 142.532091
Collatz 5368709120 294.967956
Collatz 8053063680 449.707742
Collatz 10737418240 607.000634
Collatz 13421772800 765.288854
Math 671088640 131.989101
Math 1342177280 262.202172
Math 2684354560 521.928880
Math 4026531840 781.908551
Math 5368709120 1039.886887
Math 6710886400 1296.627272
MaxElement 1342177280 3.859416
MaxElement 2684354560 7.500387
MaxElement 5368709120 15.416920
MaxElement 8053063680 22.891682
MaxElement 10737418240 30.084305
MaxElement 13421772800 37.691210
VecPow 335544320 0.734795
VecPow 671088640 1.399755
VecPow 1342177280 2.466449
VecPow 2013265920 3.967100
VecPow 2684354560 5.074797
VecPow 3355443200 6.236159
