Testcase DataSize Time
Collatz 1342177280 69.299457
Collatz 2684354560 143.044084
Collatz 5368709120 294.413044
Collatz 8053063680 448.975136
Collatz 10737418240 606.187560
Collatz 13421772800 765.088429
Math 671088640 131.812909
Math 1342177280 263.581575
Math 2684354560 523.870724
Math 4026531840 781.710818
Math 5368709120 1040.662513
Math 6710886400 1297.712897
MaxElement 1342177280 3.877573
MaxElement 2684354560 7.626760
MaxElement 5368709120 15.405536
MaxElement 8053063680 22.909355
MaxElement 10737418240 30.173504
MaxElement 13421772800 37.746410
VecPow 335544320 0.595413
VecPow 671088640 1.332706
VecPow 1342177280 2.601496
VecPow 2013265920 3.828951
VecPow 2684354560 6.229789
VecPow 3355443200 7.075638
