Testcase DataSize WorkGroupSize GpuWorkGroups NumThreads Time
MaxElement 5368709120 10000 20000 8 1.588284
MaxElement 5368709120 10000 50000 6 1.620217
MaxElement 5368709120 10000 50000 8 1.594553
MaxElement 5368709120 10000 100000 8 1.601748
MaxElement 5368709120 100000 1000 8 1.597395
MaxElement 5368709120 100000 10000 8 1.600436
MaxElement 5368709120 100000 20000 8 1.594829
MaxElement 8053063680 1000 50000 8 2.406635
MaxElement 8053063680 1000 100000 8 2.399891
MaxElement 8053063680 10000 10000 8 2.383919
MaxElement 8053063680 10000 20000 8 2.364258
MaxElement 8053063680 10000 50000 6 2.416867
MaxElement 8053063680 10000 50000 8 2.363417
MaxElement 8053063680 10000 100000 8 2.363426
MaxElement 8053063680 100000 1000 8 2.374115
MaxElement 8053063680 100000 10000 8 2.361452
MaxElement 8053063680 100000 20000 8 2.400030
MaxElement 10737418240 1000 50000 8 3.194896
MaxElement 10737418240 1000 100000 8 3.176239
MaxElement 10737418240 10000 10000 8 3.161402
MaxElement 10737418240 10000 20000 8 3.158427
MaxElement 10737418240 10000 50000 6 3.205103
MaxElement 10737418240 10000 50000 8 3.138328
MaxElement 10737418240 10000 100000 8 3.153964
MaxElement 10737418240 100000 1000 8 3.150528
MaxElement 10737418240 100000 10000 8 3.144099
MaxElement 10737418240 100000 20000 8 3.178230
MaxElement 13421772800 1000 50000 8 3.979947
MaxElement 13421772800 1000 100000 8 3.951239
MaxElement 13421772800 10000 10000 8 3.935361
MaxElement 13421772800 10000 20000 8 3.927113
MaxElement 13421772800 10000 50000 6 4.009323
MaxElement 13421772800 10000 50000 8 3.917945
MaxElement 13421772800 10000 100000 8 3.938541
MaxElement 13421772800 100000 1000 8 3.934867
MaxElement 13421772800 100000 10000 8 3.908765
MaxElement 13421772800 100000 20000 8 3.908921
VectorPow 335544320 1000 100 8 0.364982
VectorPow 335544320 1000 1000 8 0.343651
VectorPow 335544320 1000 10000 8 0.344517
VectorPow 335544320 1000 20000 8 0.354051
VectorPow 335544320 1000 50000 8 0.373819
VectorPow 335544320 10000 100 8 0.346988
VectorPow 335544320 10000 1000 8 0.343047
VectorPow 335544320 10000 10000 8 0.391460
VectorPow 335544320 100000 100 8 0.344746
VectorPow 335544320 100000 1000 8 0.388569
VectorPow 671088640 1000 100 8 0.758050
VectorPow 671088640 1000 1000 8 0.706346
VectorPow 671088640 1000 10000 8 0.697586
VectorPow 671088640 1000 20000 8 0.721578
VectorPow 671088640 1000 50000 8 0.702559
VectorPow 671088640 10000 100 8 0.693787
VectorPow 671088640 10000 1000 8 0.710791
VectorPow 671088640 10000 10000 8 0.781381
VectorPow 671088640 100000 100 8 0.712384
VectorPow 671088640 100000 1000 8 0.771370
VectorPow 1342177280 1000 100 8 1.477813
VectorPow 1342177280 1000 1000 8 1.389242
VectorPow 1342177280 1000 10000 8 1.372854
VectorPow 1342177280 1000 20000 8 1.385685
VectorPow 1342177280 1000 50000 8 1.379881
VectorPow 1342177280 10000 100 8 1.374120
VectorPow 1342177280 10000 1000 8 1.358682
VectorPow 1342177280 10000 10000 8 1.343220
VectorPow 1342177280 100000 100 8 1.370142
VectorPow 1342177280 100000 1000 8 1.338917
VectorPow 2013265920 1000 100 8 2.180470
VectorPow 2013265920 1000 1000 8 2.055856
VectorPow 2013265920 1000 10000 8 2.091667
VectorPow 2013265920 1000 20000 8 2.051087
VectorPow 2013265920 1000 50000 8 2.076270
VectorPow 2013265920 10000 100 8 2.042126
VectorPow 2013265920 10000 1000 8 2.021946
VectorPow 2013265920 10000 10000 8 2.079511
VectorPow 2013265920 100000 100 8 2.024874
VectorPow 2013265920 100000 1000 8 2.093991
VectorPow 2684354560 1000 100 8 2.935970
VectorPow 2684354560 1000 1000 8 2.726460
VectorPow 2684354560 1000 10000 8 2.718117
VectorPow 2684354560 1000 20000 8 2.713768
VectorPow 2684354560 1000 50000 8 2.713259
VectorPow 2684354560 10000 100 8 2.736211
VectorPow 2684354560 10000 1000 8 2.754263
VectorPow 2684354560 10000 10000 8 2.711825
VectorPow 2684354560 100000 100 8 2.678927
VectorPow 2684354560 100000 1000 8 2.687922
VectorPow 3355443200 1000 100 8 3.666835
VectorPow 3355443200 1000 1000 8 3.434352
VectorPow 3355443200 1000 10000 8 3.383135
VectorPow 3355443200 1000 20000 8 3.401489
VectorPow 3355443200 1000 50000 8 3.405684
VectorPow 3355443200 10000 100 8 3.390118
VectorPow 3355443200 10000 1000 8 3.321524
VectorPow 3355443200 10000 10000 8 3.399761
VectorPow 3355443200 100000 100 8 3.358074
VectorPow 3355443200 100000 1000 8 3.384176
