Testcase DataSize Time
Collatz 1342177280 68.970703
Collatz 2684354560 142.584121
Collatz 5368709120 294.567071
Collatz 8053063680 449.617878
Collatz 10737418240 606.796213
Collatz 13421772800 765.571806
Math 671088640 131.897025
Math 1342177280 262.122980
Math 2684354560 521.215136
Math 4026531840 782.025917
Math 5368709120 1039.266353
Math 6710886400 1296.738074
MaxElement 1342177280 3.780004
MaxElement 2684354560 7.568613
MaxElement 5368709120 15.037922
MaxElement 8053063680 22.639240
MaxElement 10737418240 30.106216
MaxElement 13421772800 38.175118
VecPow 335544320 0.666175
VecPow 671088640 1.341530
VecPow 1342177280 2.667419
VecPow 2013265920 4.017356
VecPow 2684354560 4.944692
VecPow 3355443200 6.241606
