Testcase DataSize Time
Collatz 1342177280 1.794242
Collatz 2684354560 3.637539
Collatz 5368709120 7.364021
Collatz 8053063680 11.130474
Collatz 10737418240 14.905846
Collatz 13421772800 18.717104
Math 671088640 47.892935
Math 1342177280 95.932212
Math 2684354560 192.039418
Math 4026531840 288.328711
Math 5368709120 384.608636
Math 6710886400 480.580240
MaxElement 1342177280 0.446698
MaxElement 2684354560 0.871555
MaxElement 5368709120 1.727173
MaxElement 8053063680 2.578075
MaxElement 10737418240 3.434148
MaxElement 13421772800 4.286108
VectorPow 335544320 0.659744
VectorPow 671088640 1.286116
VectorPow 1342177280 2.543705
VectorPow 2013265920 3.793856
VectorPow 2684354560 5.037920
VectorPow 3355443200 6.311149
