Testcase DataSize Time
Collatz 1342177280 1.792281
Collatz 2684354560 3.633942
Collatz 5368709120 7.353969
Collatz 8053063680 11.134109
Collatz 10737418240 14.925114
Collatz 13421772800 18.725862
Math 671088640 47.916766
Math 1342177280 95.947553
Math 2684354560 192.042326
Math 4026531840 288.202478
Math 5368709120 384.428466
Math 6710886400 480.621048
MaxElement 1342177280 0.455827
MaxElement 2684354560 0.872748
MaxElement 5368709120 1.725358
MaxElement 8053063680 2.581152
MaxElement 10737418240 3.434701
MaxElement 13421772800 4.288851
VectorPow 335544320 0.670588
VectorPow 671088640 1.290983
VectorPow 1342177280 2.550566
VectorPow 2013265920 3.792920
VectorPow 2684354560 5.038376
VectorPow 3355443200 6.293408
