Testcase DataSize Time
Collatz 1342177280 73.457395
Collatz 2684354560 143.034500
Collatz 5368709120 294.751238
Collatz 8053063680 449.584784
Collatz 10737418240 606.490132
Collatz 13421772800 765.082144
Math 671088640 131.730205
Math 1342177280 261.743311
Math 2684354560 520.145526
Math 4026531840 779.139210
Math 5368709120 1036.614031
Math 6710886400 1293.731334
MaxElement 1342177280 4.035251
MaxElement 2684354560 7.609354
MaxElement 5368709120 15.363830
MaxElement 8053063680 22.743259
MaxElement 10737418240 30.172443
MaxElement 13421772800 37.636209
VecPow 335544320 0.797392
VecPow 671088640 1.477034
VecPow 1342177280 2.497324
VecPow 2013265920 3.734005
VecPow 2684354560 5.300412
VecPow 3355443200 6.368396
