Testcase DataSize WorkGroupSize GpuWorkGroups NumThreads Time
Collatz 2684354560 10 100 2 102.856535
Collatz 2684354560 10 100 4 88.507629
Collatz 2684354560 10 100 6 76.909336
Collatz 2684354560 10 100 8 69.185926
Collatz 2684354560 10 1000 2 15.697841
Collatz 2684354560 10 1000 4 15.374324
Collatz 2684354560 10 1000 6 14.995542
Collatz 2684354560 10 1000 8 14.634172
Collatz 2684354560 10 10000 2 4.586223
Collatz 2684354560 10 10000 4 4.563662
Collatz 2684354560 10 10000 6 4.514195
Collatz 2684354560 10 10000 8 4.471840
Collatz 2684354560 10 20000 2 4.039416
Collatz 2684354560 10 20000 4 4.012589
Collatz 2684354560 10 20000 6 3.975732
Collatz 2684354560 10 20000 8 3.958360
Collatz 2684354560 10 50000 2 3.832180
Collatz 2684354560 10 50000 4 3.807509
Collatz 2684354560 10 50000 6 3.787651
Collatz 2684354560 10 50000 8 3.768493
Collatz 2684354560 10 100000 2 3.721882
Collatz 2684354560 10 100000 4 3.719513
Collatz 2684354560 10 100000 6 3.684365
Collatz 2684354560 10 100000 8 3.650097
Collatz 2684354560 100 100 2 15.696214
Collatz 2684354560 100 100 4 15.290841
Collatz 2684354560 100 100 6 14.896926
Collatz 2684354560 100 100 8 14.528943
Collatz 2684354560 100 1000 2 4.563067
Collatz 2684354560 100 1000 4 4.546300
Collatz 2684354560 100 1000 6 4.495709
Collatz 2684354560 100 1000 8 4.473082
Collatz 2684354560 100 10000 2 3.728229
Collatz 2684354560 100 10000 4 3.705581
Collatz 2684354560 100 10000 6 3.677219
Collatz 2684354560 100 10000 8 3.653094
Collatz 2684354560 100 20000 2 3.684932
Collatz 2684354560 100 20000 4 3.659139
Collatz 2684354560 100 20000 6 3.636097
Collatz 2684354560 100 20000 8 3.616281
Collatz 2684354560 100 50000 2 3.664231
Collatz 2684354560 100 50000 4 3.637531
Collatz 2684354560 100 50000 6 3.619583
Collatz 2684354560 100 50000 8 3.603487
Collatz 2684354560 100 100000 2 3.644175
Collatz 2684354560 100 100000 4 3.624924
Collatz 2684354560 100 100000 6 3.607284
Collatz 2684354560 100 100000 8 3.593383
Collatz 2684354560 1000 100 2 4.583482
Collatz 2684354560 1000 100 4 4.547370
Collatz 2684354560 1000 100 6 4.505444
Collatz 2684354560 1000 100 8 4.485733
Collatz 2684354560 1000 1000 2 3.736073
Collatz 2684354560 1000 1000 4 3.697837
Collatz 2684354560 1000 1000 6 3.674914
Collatz 2684354560 1000 1000 8 3.651349
Collatz 2684354560 1000 10000 2 3.649971
Collatz 2684354560 1000 10000 4 3.630421
Collatz 2684354560 1000 10000 6 3.607050
Collatz 2684354560 1000 10000 8 3.586489
Collatz 2684354560 1000 20000 2 3.658894
Collatz 2684354560 1000 20000 4 3.617039
Collatz 2684354560 1000 20000 6 3.595570
Collatz 2684354560 1000 20000 8 3.580426
Collatz 2684354560 1000 50000 2 3.649332
Collatz 2684354560 1000 50000 4 3.635649
Collatz 2684354560 1000 50000 6 3.594853
Collatz 2684354560 1000 50000 8 3.582564
Collatz 2684354560 1000 100000 2 3.658636
Collatz 2684354560 1000 100000 4 3.633610
Collatz 2684354560 1000 100000 6 3.595161
Collatz 2684354560 1000 100000 8 3.574268
Collatz 2684354560 10000 100 2 3.735179
Collatz 2684354560 10000 100 4 3.707790
Collatz 2684354560 10000 100 6 3.679337
Collatz 2684354560 10000 100 8 3.654878
Collatz 2684354560 10000 1000 2 3.653134
Collatz 2684354560 10000 1000 4 3.630689
Collatz 2684354560 10000 1000 6 3.611224
Collatz 2684354560 10000 1000 8 3.575866
Collatz 2684354560 10000 10000 2 3.646630
Collatz 2684354560 10000 10000 4 3.628810
Collatz 2684354560 10000 10000 6 3.592710
Collatz 2684354560 10000 10000 8 3.570632
Collatz 2684354560 10000 20000 2 3.652805
Collatz 2684354560 10000 20000 4 3.625745
Collatz 2684354560 10000 20000 6 3.595768
Collatz 2684354560 10000 20000 8 3.560323
Collatz 2684354560 10000 50000 2 3.627887
Collatz 2684354560 10000 50000 4 3.594894
Collatz 2684354560 10000 50000 6 3.595997
Collatz 2684354560 10000 50000 8 3.568213
Collatz 2684354560 10000 100000 2 3.633173
Collatz 2684354560 10000 100000 4 3.613826
Collatz 2684354560 10000 100000 6 3.597742
Collatz 2684354560 10000 100000 8 3.581988
Collatz 2684354560 100000 100 2 3.665335
Collatz 2684354560 100000 100 4 3.643972
Collatz 2684354560 100000 100 6 3.637205
Collatz 2684354560 100000 100 8 3.614311
Collatz 2684354560 100000 1000 2 3.644780
Collatz 2684354560 100000 1000 4 3.626899
Collatz 2684354560 100000 1000 6 3.587651
Collatz 2684354560 100000 1000 8 3.580425
Collatz 2684354560 100000 10000 2 3.627775
Collatz 2684354560 100000 10000 4 3.610370
Collatz 2684354560 100000 10000 6 3.590051
Collatz 2684354560 100000 10000 8 3.573777
Collatz 2684354560 100000 20000 2 3.627381
Collatz 2684354560 100000 20000 4 3.613091
Collatz 2684354560 100000 20000 6 3.599404
Collatz 2684354560 100000 20000 8 3.576050
Collatz 2684354560 100000 50000 2 3.638285
Collatz 2684354560 100000 50000 4 3.634743
Collatz 2684354560 100000 50000 6 3.636557
Collatz 2684354560 100000 50000 8 3.631036
Collatz 2684354560 100000 100000 2 3.634682
Collatz 2684354560 100000 100000 4 3.634041
Collatz 2684354560 100000 100000 6 3.635228
Collatz 2684354560 100000 100000 8 3.642587
Math 1342177280 10 100 2 1314.083584
Math 1342177280 10 100 4 583.279316
Math 1342177280 10 100 6 375.001289
Math 1342177280 10 100 8 280.701016
Math 1342177280 10 1000 2 327.022113
Math 1342177280 10 1000 4 249.648936
Math 1342177280 10 1000 6 201.995035
Math 1342177280 10 1000 8 170.608444
Math 1342177280 10 10000 2 111.342346
Math 1342177280 10 10000 4 99.926378
Math 1342177280 10 10000 6 91.418325
Math 1342177280 10 10000 8 84.352655
Math 1342177280 10 20000 2 93.049634
Math 1342177280 10 20000 4 85.406895
Math 1342177280 10 20000 6 79.055545
Math 1342177280 10 20000 8 73.739758
Math 1342177280 10 50000 2 96.451645
Math 1342177280 10 50000 4 88.361951
Math 1342177280 10 50000 6 81.545800
Math 1342177280 10 50000 8 75.845303
Math 1342177280 10 100000 2 92.996077
Math 1342177280 10 100000 4 85.455886
Math 1342177280 10 100000 6 79.079689
Math 1342177280 10 100000 8 73.744049
Math 1342177280 100 100 2 325.170667
Math 1342177280 100 100 4 248.285488
Math 1342177280 100 100 6 200.353273
Math 1342177280 100 100 8 168.841152
Math 1342177280 100 1000 2 110.498118
Math 1342177280 100 1000 4 99.820960
Math 1342177280 100 1000 6 91.023004
Math 1342177280 100 1000 8 84.036523
Math 1342177280 100 10000 2 92.996669
Math 1342177280 100 10000 4 85.240414
Math 1342177280 100 10000 6 78.973424
Math 1342177280 100 10000 8 73.679150
Math 1342177280 100 20000 2 91.197811
Math 1342177280 100 20000 4 83.909772
Math 1342177280 100 20000 6 77.708592
Math 1342177280 100 20000 8 72.416874
Math 1342177280 100 50000 2 91.530166
Math 1342177280 100 50000 4 84.093779
Math 1342177280 100 50000 6 77.952887
Math 1342177280 100 50000 8 72.593188
Math 1342177280 100 100000 2 91.166755
Math 1342177280 100 100000 4 83.884831
Math 1342177280 100 100000 6 77.594092
Math 1342177280 100 100000 8 72.556257
Math 1342177280 1000 100 2 110.471210
Math 1342177280 1000 100 4 99.839384
Math 1342177280 1000 100 6 91.240576
Math 1342177280 1000 100 8 83.894940
Math 1342177280 1000 1000 2 92.943486
Math 1342177280 1000 1000 4 85.266951
Math 1342177280 1000 1000 6 78.777173
Math 1342177280 1000 1000 8 73.487625
Math 1342177280 1000 10000 2 91.178664
Math 1342177280 1000 10000 4 83.766806
Math 1342177280 1000 10000 6 77.659627
Math 1342177280 1000 10000 8 72.648456
Math 1342177280 1000 20000 2 91.014078
